,title,author,publication_year,format,current_price,original_price
490,Lost in the Moment and Found,Seanan McGuire,2023,Hardback,21.79,22.99
491,Girls That Invest: Your Guide to Financial Independence through Shares and Stocks,Simran Kaur,2022,Paperback,16.2,22.0
493,Zero to One,Blake Masters,2018,Paperback,12.41,13.49
495,Baking Yesteryear,Author B. Dylan Hollis,2023,Hardback,28.64,32.0
496,Leaders Eat Last,Simon Sinek,2017,Paperback,12.62,13.24
497,Unreasonable Hospitality,Will Guidara,2022,Hardback,25.94,29.0
498,The Richest Man In Babylon,George S Clason,2018,Paperback,9.23,9.99
499,"Set Boundaries, Find Peace",Nedra Glover Tawwab,2021,Paperback,15.4,18.06
500,Mating in Captivity,Esther Perel,2007,Paperback,9.93,12.64
503,Beach Read,Emily Henry,2020,Paperback,10.72,10.83
504,The Light We Carry,Michelle Obama,2022,Hardback,26.28,30.12
505,Daring Greatly,Brene Brown,2016,Paperback,11.4,12.03
506,The Brothers Karamazov,Fyodor Dostoyevsky,2003,Paperback,14.91,17.0
507,The Explosive Child [Sixth Edition],"Ross W Greene, PhD",2021,Paperback,16.45,17.99
508,Babel,R F Kuang,2022,Hardback,20.98,27.99
509,Divergent Mind,Jenara Nerenberg,2021,Paperback,12.97,15.99
512,The Rainbow Fish,Marcus Pfister,2012,Paperback,8.31,9.95
513,School-Live! Letters,Norimitsu Kaihou,2023,Paperback,12.67,13.0
514,"Chainsaw Man, Vol. 11",Tatsuki Fujimoto,2022,Paperback,8.8,9.99
515,"Chainsaw Man, Vol. 2",Tatsuki Fujimoto,2020,Paperback,8.65,9.99
518,The Picture of Dorian Gray,Oscar Wilde,1997,Paperback,4.75,6.99
519,The Perks of Being a Wallflower,Stephen Chbosky,2009,Paperback,10.32,10.83
521,The Years - WINNER OF THE 2022 NOBEL PRIZE IN LITERATURE,Annie Ernaux,2022,Paperback,11.2,11.99
523,Lonely Planet Japan,Lonely Planet,2022,Paperback,21.92,29.99
